Page ID,Page Name,Disclaimer,Amount Spent (PLN)
531772040534886,Hity Sprzedaży,These ads ran without a disclaimer,2755
218366368217665,Monika Jaruzelska,KW Polska Lewica,2751
123113364510536,Biełsat po polsku,Biełsat po polsku,2742
110496355685054,Projekt Test,Fundacja Edukacji Społecznej,2713
602546603094182,Muzeum Pamięci Sybiru,Muzeum Pamięci Sybiru,2705
481009832080945,Carpatree,These ads ran without a disclaimer,2687
57544755889,Amnesty International Polska,These ads ran without a disclaimer,2671
630724907081420,Krzysiek Rzyman - Zielony Podcast,KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI,2663
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,2658
106464864246053,Polskie Zakłady Bukmacherskie - PZBuk,These ads ran without a disclaimer,2634
1028495630524476,Zbigniew Gryglas Wiceminister Aktywów Państwowych,Zbigniew Gryglas,2624
56523719129,Muzeum Sztuki Nowoczesnej w Warszawie/ Museum of Modern Art in Warsaw,Magdalena Anna Zięba-Grodzka,2608
150617698324166,Polska Fundacja im. Roberta Schumana,Polska Fundacja im. Roberta Schumana,2605
2016828938536615,Biennale Warszawa,Biennale Warszawa,2602
395533923834784,PSL Mazowsze,These ads ran without a disclaimer,2595
126656734059867,Paweł Lisiecki,Komitet Wyborczy Prawo i Sprawiedliwość,2560
203675933025899,"Ministerstwo Kultury, Dziedzictwa Narodowego i Sportu",Ministerstwo Kultury i Dziedzictwa Narodowego,2555
114255570115199,Mazowiecki Akcelerator Startu Zawodowego,These ads ran without a disclaimer,2548
549694025184188,Adrian Zandberg,"KKW Lewica Razem – Razem, Unia Pracy, RSS",2544
176974412347806,Michał Rosa,Michał Sebastian Rosa,2543
328170794051845,KUKIZ15,Komitet Wyborczy Wyborców Kukiz'15,2537
1231484993545202,Foton Technik,These ads ran without a disclaimer,2499
350958838905984,Praca w Komisji Wyborczej,KW Prawica,2494
84022354529,Radio ZET,Radio ZET,2491
150412465290475,Kamila Gasiuk-Pihowicz,Kamila Gasiuk-Pihowicz,2480
292640324174614,Hellozdrowie.pl,Hellozdrowie.pl,2466
284219099021432,Polskie Zakłady Bukmacherskie,These ads ran without a disclaimer,2449
115190293247596,Pawel Kownacki,Paweł Andrzej Kownacki,2406
471242373013751,Aleksandra Gajewska,Aleksandra Gajewska,2399
1967695263556184,Sylwia Spurek,European Parliament–S&D Group,2385
177473808919,Polskie Stronnictwo Ludowe,Komitet Wyborczy Polskie Stronnictwo Ludowe,2348
112077363639199,Krajowe Centrum ds. AIDS,Clickad Interactive,2343
113968230157403,Referendum Milanówek 2020,Inicjatywa Referendalna Milanówek,2340
56024223012,Onet Wiadomości,Onet Wiadomości,2327
1914501645469702,Otwarta Przestrzeń - centrum terapii,Fundacja Instytut Otwarta Przestrzeń,2327
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,2314
152670925543661,HelioExpert,HelioExpert,2283
286259248181285,Zbigniew Kuźmiuk,Przemysław Balmowski,2222
148975835158813,analizy.pl,analizy.pl,2222
177958135584095,Muzeum Warszawy,These ads ran without a disclaimer,2216
1881927918605470,Zamówprezent.pl,These ads ran without a disclaimer,2215
763763693663199,Jarosław Szostakowski,KKW Koalicja Obywatelska PO .N iPL Zieloni,2209
124606738930487,Piotr Owczarski - #27OwczarskidoSejmu,Komitet Wyborczy PSL,2195
101530521245874,Halo.Radio,Halo.Radio,2180
436111276479085,Sieć Obywatelska - Watchdog Polska,Sieć Obywatelska - Watchdog Polska,2176
1851601788258292,Sztuczna Inteligencja,Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy,2173
265568017276074,Pismo,Pismo,2163
197272847700522,Światowy Ruch Katolików na rzecz Środowiska,Światowy Ruch Katolików na Rzecz Środowiska,2162
100987015387109,Stowarzyszenie Inwestorów Giełdowych,These ads ran without a disclaimer,2162
255605291822511,GovTech Polska,GovTech Polska,2155
1495480087399256,Jacek Ozdoba,"Jacek Ozdoba, Poseł na Sejm RP",2139
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,2139
798249970192065,Edukacja dla Dobrego Klimatu,Wojciech Makowski,2131
105959298029936,Endless Energy - Odnawialne źródła energii,These ads ran without a disclaimer,2120
1907101516205244,PFR Nieruchomości,These ads ran without a disclaimer,2115
891024064259450,Michał Prószyński,Komitet Wyborczy Prawo i Sprawiedliwość,2111
567066860335135,Błękitny Węgiel,Błękitny Węgiel,2091
375393409660805,Agnieszka Wyrwał Radna m. st. Warszawy,KKW Koalicja Obywatelska PO .N iPL Zieloni,2087
439822419795040,Nowoczesne Kobiety - Lelum.pl,These ads ran without a disclaimer,2080
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,KKW Koalicja Obywatelska PO .N IPL Zieloni,2074
6243987495,Spotify,These ads ran without a disclaimer,2065
913279165534005,300Gospodarka,These ads ran without a disclaimer,2063
437797673284014,"Marcin Kaca - Twoje osiedle,Twój radny",Marcin Kaca,2050
107590839282206,BNP Paribas Bank Polska,BNP Paribas Bank Polska S.A.,2049
185265414715,Onet,These ads ran without a disclaimer,2047
342822173134163,Sylwia Lacek - Radna Dzielnicy Bielany m.st. Warszawy,Sylwia Lacek,2043
2090946654523834,Przestrzeń from Facebook,These ads ran without a disclaimer,2042
329822703732548,player.pl,These ads ran without a disclaimer,2040
111005887038781,Prawnicy Pomagają,Prawnicy Pomagają,2038
612226249128083,Maciej Lasek,kkw koalicja obywatelska po .n ipl zieloni,2012
1593828134172917,Open Eyes Economy,Open Eyes Economy,2007
172103990044692,Laur- Polskie Ubranka dla Dzieci,Agata Markiewicz,1997
191760960857481,Henryk Kowalczyk,Komitet Wyborczy Prawo i Sprawiedliwość,1993
544726005678929,Anna Maria Siarkowska,Anna Maria Siarkowska,1984
1694548924099230,Jakub Stefaniak,Komitet Wyborczy PSL,1976
220473935337563,Gotard - Biuro Rachunkowe,Gotard Biuro Rachunkowe,1975
106552182752379,Fortum Polska,Fortum Polska,1968
2268238196629139,Techie Monster,These ads ran without a disclaimer,1963
192551087567323,LOLA Fashion,LOLA Fashion,1952
266659403739571,uStyle.pl,These ads ran without a disclaimer,1951
116904543025615,Andrzej Bittel,Komitet Wyborczy Prawo i Sprawiedliwość,1934
347909096516,PJATK,These ads ran without a disclaimer,1931
165042683632090,Artur E. Dziambor,partia Wolność,1913
559447160904764,LAPP PRESS FOTO,Piotr Michał Łapiński,1910
2441930755826028,E-Dopłaty,These ads ran without a disclaimer,1903
77049287117,WPROST,WPROST,1903
323540101461265,Fundacja Neuron+,Fundacja Neuron+,1882
115883558423028,Volvo Car Poland,These ads ran without a disclaimer,1862
458440260940195,Danuta Hübner,KKW Koalicja Europejska PO SLD PSL .N Zieloni,1860
1501126606805377,Bartłomiej Pejo,KW Konfederacja Wolność i Niepodległość,1857
290266165142486,Ireneusz Sitarski,KW Sojusz Lewicy Demokratycznej,1857
415023695371209,NOIZZ.pl,NOIZZ.pl,1854
236826946955358,Sebastian Liszka,KW Sojusz Lewicy Demokratycznej,1848
602587789938239,Krzysztof Rdest - Radny Powiatu Żyrardowskiego,Krzysztof Rdest,1837
770401946407523,Hypnotize Butik,Adam Jędrzejczak,1815
1653872627972968,Jan Strzeżek,These ads ran without a disclaimer,1810
322973558343540,Roty Marszu Niepodległości,Roty Marszu Niepodległości,1788
