Page ID,Page Name,Disclaimer,Amount Spent (PLN)
116004269767668,Maciej Tomczykiewicz,KKW Koalicja Obywatelska PO .N iPL Zieloni,1549
266659403739571,uStyle.pl,These ads ran without a disclaimer,1546
1747566525274487,Klar,Klar,1544
103088881805449,Dumni z pięknej Polski,Fundacja GCCM Polska Światowy Ruch Katolików na rzecz Środowiska,1526
602546603094182,Muzeum Pamięci Sybiru,Muzeum Pamięci Sybiru,1525
1578491772374130,Małopolska Organizacja Turystyczna,Małopolska Organizacja Turystyczna,1514
875945505776755,Wojciech Król - Poseł na Sejm RP,These ads ran without a disclaimer,1512
329822703732548,player.pl,These ads ran without a disclaimer,1506
139809179397099,Marek Krząkała - poseł na Sejm RP,KKW Koalicja Obywatelska PO .N iPL Zieloni,1503
398575110474591,Krzysztof Gadowski,These ads ran without a disclaimer,1495
1997138107214988,Ewa Kołodziej Poseł na Sejm RP,KKW Koalicja Obywatelska PO .N IPL Zieloni,1485
132398726853009,Marek Wójcik,KKW Koalicja Obywatelska PO .N IPL Zieloni,1484
1389430631355482,Dobromir Sośnierz,These ads ran without a disclaimer,1483
112427465462177,Śląskie. Pozytywna energia,Śląskie. Pozytywna energia,1482
112077363639199,Krajowe Centrum ds. AIDS,Clickad Interactive,1480
371048117077022,Sabina Obwiosło-Budzyń,KW Wiosna Roberta Biedronia,1478
108566759302831,Cognitus Centrum Szkoleń,Cognitus Centrum Szkoleń,1476
562637337464327,Popieramy Premiera Mateusza Morawieckiego,These ads ran without a disclaimer,1470
241192882722040,Przemysław Cichosz Przewodniczący Rady Powiatu,Przemysław Krzysztof Cichosz,1462
466186134168406,Konfederacja Korony Polskiej,KW Konfederacja Wolność i Niepodległość,1462
499646073441042,Jacek Wilk,These ads ran without a disclaimer,1446
1643686859194259,Sebastian Kaleta,"Sebastian Kaleta, Poseł na Sejm RP",1439
111380682237681,Dziennik Zachodni,Dziennik Zachodni,1430
166821910021029,Razem zmieniamy Śląskie,Szymon Maciej Nowak,1419
240360349829878,Otvarta,These ads ran without a disclaimer,1418
517037508369297,zrzutka.pl,zrzutka.pl,1415
118084194963414,Kultura Liberalna,Kultura Liberalna,1411
171382802698,Klub Jagielloński,Klub Jagielloński,1408
190933967604086,Wyższa Szkoła Humanitas,These ads ran without a disclaimer,1406
147547541961576,Council of the European Union,Council of the European Union,1402
333409683428621,Nowa Konfederacja,Nowa Konfederacja,1390
1495480087399256,Jacek Ozdoba,"Jacek Ozdoba, Poseł na Sejm RP",1390
148975835158813,analizy.pl,analizy.pl,1369
959387840744974,Bezpartyjni Samorządowcy,Komitet Wyborczy Wyborców Koalicja Bezpartyjni i Samorządowcy,1365
290606948382,ERGO Hestia,ERGO Hestia,1364
110708862329064,nazwa.pl,These ads ran without a disclaimer,1357
1657088194515068,Jarosław W. Lasecki,Jarosław W. Lasecki,1354
743083706091027,Odpowiedzialność,Odpowiedzialność,1351
185265414715,Onet,These ads ran without a disclaimer,1350
746934618666329,Michał Wcisło - Radny Sosnowca,Michał Piotr Wcisło,1349
347909096516,PJATK,These ads ran without a disclaimer,1342
847950485383153,Pokonaj Raka Piersi,Katarzyna Karolina Stachowicz,1337
253776364794956,Przemysław Koperski - poseł na Sejm RP. KP Lewicy,KW Sojusz Lewicy Demokratycznej,1331
654912251187357,Grupa PGE,These ads ran without a disclaimer,1327
1235256026493430,EPG - Fotowoltaika dla Ciebie,These ads ran without a disclaimer,1320
415023695371209,NOIZZ.pl,NOIZZ.pl,1319
110491392351511,LINK4,LINK4,1310
294018820689458,Reserved Kids,These ads ran without a disclaimer,1306
147100482691780,Bartłomiej J.Gabryś,KKW Koalicja Obywatelska PO .N iPL Zieloni,1306
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,1299
110496355685054,Projekt Test,Fundacja Edukacji Społecznej,1299
2277401239177445,Fundusze dla Biznesu,Śląskie Centrum Przedsiębiorczości,1298
48391402694,Partia Zieloni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,1295
106432880711994,Marek Pinkas - Partia Zieloni,KKW Koalicja Obywatelska PO .N IPL Zieloni,1293
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,1275
1669410956659209,Premium Energia,Monika Kołodziejczyk,1265
1839198629703865,Adrian Midor - Radny Powiatu Żywieckiego,BESKIDO - Agencja Interaktywna,1265
147645371952078,WOJAS,These ads ran without a disclaimer,1263
1593828134172917,Open Eyes Economy,Open Eyes Economy,1256
541568909232306,Federacja Konsumentów,Federacja Konsumentów,1246
287671955182458,Anna Karwot - Polityk,Komitet Koalicja Polska - PSL,1240
57544755889,Amnesty International Polska,These ads ran without a disclaimer,1240
277681892059,Janusz Korwin-Mikke,partia Wolność,1233
371359310400318,Janusz Kowalski,Janusz Kowalski,1230
113356018705476,Rzeczpospolita,Rzeczpospolita,1225
1967695263556184,Sylwia Spurek,European Parliament–S&D Group,1207
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,1207
140962469393020,Konrad Berkowicz,partia Wolność,1205
2005337006200509,Paweł Ruksza - Radny Miasta Częstochowy,Komitet Polityczny Prawo i Sprawiedliwość,1201
112414626788784,Internetowe Konto Pacjenta,Clickad Interactive,1199
