Page ID,Page Name,Disclaimer,Amount Spent (PLN)
307031223301174,Mariusz Kotarba,KW Sojusz Lewicy Demokratycznej,1404
333409683428621,Nowa Konfederacja,Nowa Konfederacja,1383
136390556431938,Pracownia na rzecz Wszystkich Istot,Pracownia na rzecz Wszystkich Istot,1368
203675933025899,"Ministerstwo Kultury, Dziedzictwa Narodowego i Sportu",Ministerstwo Kultury i Dziedzictwa Narodowego,1367
323540101461265,Fundacja Neuron+,Fundacja Neuron+,1365
100384718193249,Bosak2020,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Krzysztofa Bosaka,1355
277892342334350,Akcja Demokracja,Akcja Demokracja,1338
109290147401664,Polska Organizacja Handlu i Dystrybucji,Polska Organizacja Handlu i Dystrybucji,1328
798249970192065,Edukacja dla Dobrego Klimatu,Wojciech Makowski,1312
113356018705476,Rzeczpospolita,Rzeczpospolita,1299
439822419795040,Nowoczesne Kobiety - Lelum.pl,These ads ran without a disclaimer,1294
118084194963414,Kultura Liberalna,Kultura Liberalna,1287
345172606093631,Ekoparty.pl,Ekoparty,1273
860017357674005,Extinction Rebellion Wrocław,Błażej Tomasz Miernikiewicz,1255
1507027312953591,Wojciech Murdzek - Poseł na Sejm,Komitet Wyborczy Prawo i Sprawiedliwość,1255
602546603094182,Muzeum Pamięci Sybiru,Muzeum Pamięci Sybiru,1249
106464864246053,Polskie Zakłady Bukmacherskie - PZBuk,These ads ran without a disclaimer,1236
128440100681377,Prawo dla ludzi,Prawo dla ludzi,1234
148975835158813,analizy.pl,These ads ran without a disclaimer,1234
6243987495,Spotify,These ads ran without a disclaimer,1212
235162340681268,Katarzyna Lubiniecka-Różyło,KW Wiosna Roberta Biedronia,1199
272425406191,Teatr 6. piętro,These ads ran without a disclaimer,1191
108566759302831,Cognitus Centrum Szkoleń,Cognitus Centrum Szkoleń,1185
784717654917767,Zdzisław Brezdeń,Zdzisław Brezdeń,1181
569553879735627,Marek Dyduch,KW Sojusz Lewicy Demokratycznej,1181
48391402694,Partia Zieloni,KKW Koalicja Europejska PO PSL SLD .N Zieloni,1179
1465965073732774,Łukasz Kohut,Łukasz Kohut,1176
235162340681268,Katarzyna Lubiniecka-Różyło,KW Sojusz Lewicy Demokratycznej,1164
152431494900977,Polacy,Grzegorz Roman Granowski,1159
112077363639199,Krajowe Centrum ds. AIDS,Clickad Interactive,1147
57544755889,Amnesty International Polska,These ads ran without a disclaimer,1142
141833139301,Krzysztof Bosak,KW Kandydata na Prezydenta RP Krzysztofa Bosaka,1136
159556260745562,Barbara Zdrojewska,KKW Koalicja Obywatelska PO .N IPL Zieloni,1128
84022354529,Radio ZET,Radio ZET,1127
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1126
957922074301886,"Ireneusz Zyska - Wiceminister Klimatu i Środowiska, Poseł na Sejm RP",Komitet Wyborczy Prawo i Sprawiedliwość,1122
536161756800435,Paweł Bielański  - Radny,Paweł Roman Bielański,1121
770401946407523,Hypnotize Butik,Adam Jędrzejczak,1109
553601825066380,Ewelina Szydłowska-Kędziera - Radna Sejmiku Województwa Dolnośląskiego,Marek Zbigniew Kędziera,1105
540654306395020,Magdalena Czapla Radna Miasta Bielawa,Magdalena Iwetta Czapla,1100
440957490082219,Młodzieżowy Strajk Klimatyczny Wrocław,Marianna Patrycja Hoszowska,1100
115883558423028,Volvo Car Poland,These ads ran without a disclaimer,1095
118309719575561,Coway Polska,Coway Polska,1079
250382578494394,Teresa Świło,KKW Koalicja Obywatelska PO .N IPL Zieloni,1062
1643686859194259,Sebastian Kaleta,"Sebastian Kaleta, Poseł na Sejm RP",1062
290606948382,ERGO Hestia,ERGO Hestia,1055
2117457548520027,PINK ROOM Wrocław,Lena Julianna Pelczar,1053
147645371952078,WOJAS,These ads ran without a disclaimer,1050
1407603489492838,Instytut na rzecz Kultury Prawnej Ordo Iuris,Instytut na rzecz Kultury Prawnej Ordo Iuris,1044
1747566525274487,Klar,Klar,1039
163781130878287,kartapobytu.net,These ads ran without a disclaimer,1038
1495480087399256,Jacek Ozdoba,"Jacek Ozdoba, Poseł na Sejm RP",1022
582533625218239,Robert Grzechnik,Marcin Piotr Dudek,1019
112489423603428,Kancelaria Księgowych,Krzysztof Jan Fornal,1015
148975835158813,analizy.pl,analizy.pl,1005
