Page ID,Page Name,Disclaimer,Amount Spent (DKK)
129335303834782,BL - Danmarks Almene Boliger,BL - Danmarks Almene Boliger,2812
97223458316,Frie,These ads ran without a disclaimer,2809
207867859816558,Astrid Carøe,SF,2804
349538089158009,Glad for gris,These ads ran without a disclaimer,2797
539352966216684,Vækstfonden,Vækstfonden,2787
188466802851,Norstat Danmark,These ads ran without a disclaimer,2760
495897290562507,Fagbladet 3F,Fagbladet 3F,2754
442340252481476,Borgmester Niels Hörup,Niels Hörup,2726
646735655435113,Bevar en stærk TrygFond,These ads ran without a disclaimer,2723
361528807267505,Researchkollektivet Redox,Researchkollektivet Redox,2719
437813842938863,"Sebastian Mylsted-Schenstrøm - Venstre, Næstved",Mylsted-Schenstrøm Sebastian,2695
264009771074617,Niels Fuglsang,Fuglsang Niels Peder Rindum,2676
402750609774750,Biofuel Express,Agdal Martin Sebastian,2668
1282577791766364,Kirsten Normann Andersen,SF,2642
45178758245,Bibelselskabet,Bibelselskabet,2641
290002241436781,Thomas Kampmann,Thomas Kampmann,2599
110342203672164,Surface Project,Surface Project,2596
169900309711559,SE Energi & Klima,Emilie Rasch Jensen,2584
732591266819090,Sammen er du stærkere,HK Danmark,2582
966292950121363,Christian Juhl,Enhedslisten,2575
38333246149,OiSTER,These ads ran without a disclaimer,2564
178793372195,LETZ SUSHI,LETZ SUSHI,2553
334571029981175,DM og MA studerende,Dansk Magisterforening,2527
202754879788353,Radikal Ungdom,Radikal Ungdom,2518
10349651868,Dyrenes Venner,Dyrenes Venner,2518
454838791243301,Dansk Folkeparti Køge Kommune,Anders Ladegaard Bork,2500
212208888954693,Radikale Venstre Lolland-Falster,Radikale Venstre Lolland-Falster,2500
588679974556626,SF FAXE,SF Faxe,2491
252520351444054,Morten Østergaard,Radikale Venstre,2488
102000981581794,Compleo Health,Compleo Health,2477
1988396728052020,Enhedslisten Roskilde,Skovrind Åge Martin,2475
1421127531292549,Brian Bressendorff,Møller Lise Lotte Marie Lange,2472
107893513382,Liberal Alliances Ungdom,Liberal Alliances Ungdom,2464
127344360615074,Zenia Stampe,These ads ran without a disclaimer,2455
244930342268956,MSC - Bæredygtige fisk og skaldyr,MSC - Bæredygtige fisk og skaldyr,2442
741255806000841,Skatteministeren,Skatteministeriet,2431
390925417751473,Erling Bonnesen,Bonnesen Erling Faber,2417
1351813504859326,GetBarry,These ads ran without a disclaimer,2417
147680711972749,TUBA,TUBA,2393
1478204515780533,Dansk Musikpædagogisk Forening,Dansk Musikpædagogisk Forening,2392
141469835910081,COWI,COWI,2372
