Page ID,Page Name,Disclaimer,Amount Spent (DKK)
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,4202
349538089158009,Glad for gris,These ads ran without a disclaimer,4172
1682015858734152,Poul Erik Kristiansen SF,Poul Erik Kristiansen,4144
526616710705073,Troels Ravn,Ravn Troels,4136
2079502855459920,Charlotte Broman Mølbæk,SF,4117
1704812646456237,SEGES i marken,Martin Hansen,4110
264226200420196,Tænketanken Europa,Tænketanken Europa,4105
539352966216684,Vækstfonden,Vækstfonden,4098
203735820417737,Erik Poulsen - EU-ambassadør for Venstre,Erik Poulsen - kandidat til Europa-Parlamentet,4091
276770505228,Folkekirkens Nødhjælp,These ads ran without a disclaimer,4090
1720953148175274,SPAR Danmark,SPAR Danmark,4084
110342203672164,Surface Project,Surface Project,4084
190638967645704,Maersk,Mcnab Alex Lawrence,4061
424159230945271,Christel Schaldemose,These ads ran without a disclaimer,4031
852608988134698,Tikko,These ads ran without a disclaimer,3998
281421992030474,Erik Christensen,Erik Christensen,3982
202754879788353,Radikal Ungdom,Radikal Ungdom,3964
320982581296484,TV 2 PLAY,These ads ran without a disclaimer,3929
312681889666081,Venstre Nordfyn,Brunse Mikkel Lyng Rahbek,3916
36664432940,Amnesty International Danmark,These ads ran without a disclaimer,3915
56810821434,HK Privat,HK/Privat,3896
105256367862821,Søstre mod vold og kontrol,Søstre mod vold og kontrol,3827
101391911830438,Wefood Vejle,Folkekirkens Nødhjælp,3818
194452460650048,Global Aktion,Global Aktion,3801
38333246149,OiSTER,These ads ran without a disclaimer,3791
437035763321568,HK Danmark - Under Uddannelse,HK Danmark,3778
1282577791766364,Kirsten Normann Andersen,SF,3774
1478204515780533,Dansk Musikpædagogisk Forening,Dansk Musikpædagogisk Forening,3744
107893513382,Liberal Alliances Ungdom,Liberal Alliances Ungdom,3741
242174339157676,Røde Kors Odense,Røde Kors Odense,3739
253955688339425,Brian Dybro,Brian Dybro,3730
305291916179519,Susanne Ursula Crawley Larsen,Susanne Larsen,3722
100155351806014,Æra,Ræson,3713
305932686202047,Caritas Danmark,Caritas Danmark,3682
1677055535924085,Røgfri Fremtid,These ads ran without a disclaimer,3673
1408142216156387,Lars Chr. Lilleholt,These ads ran without a disclaimer,3665
