Page ID,Page Name,Disclaimer,Amount Spent (DKK),Number of Ads in Library
389381838138010,Martin Rasmussen,HK Danmark,40208,24
718327901589937,Mette Thiesen,Mette Thiesen,40107,62
107605434134987,Digitale krænkelser koster,Ligestillingsafdelingen i Miljø- og Fødevareministeriet,39729,29
99632942471,Læger uden Grænser (MSF),These ads ran without a disclaimer,39566,94
1877705062505422,Ren madglæde,These ads ran without a disclaimer,39518,45
1679159822318963,Maistic - Komposterbart & Plastfrit,Maistic - Komposterbart & Plastfrit,39486,176
21465928829,"Venstre, Danmarks Liberale Parti",These ads ran without a disclaimer,39320,27
1033120613483808,AURA Energi,AURA Energi,39208,19
864373427248898,Dybbøl Banke Skansegården,These ads ran without a disclaimer,39029,10
100155351806014,Æra,Ræson,39026,13
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),DSU,38973,96
1343543785659663,Dyrevelfærd i mejeribruget,Dyrevelfærd i mejeribruget,38862,4
1877014859272860,Danske Bank,Danske Bank,38356,29
116061635098137,Karina Lorentzen Dehnhardt,Dehnhardt Karina Lorentzen,38125,52
1102037186543326,Tid til vaccination mod influenza,Sundhedsstyrelsen,37916,42
273915394506,Bilka,Bilka,37563,10
111394892261429,Morten Messerschmidt,Morten Messerschmidt,37282,16
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,36888,36
10558703166,Ibyen,Politiken,36607,14
1964614710452668,MOOT,MOOT,36301,24
167891603415958,Lederne,These ads ran without a disclaimer,36267,21
1497190180404355,Kira Marie Peter-Hansen,Kira Marie Peter-Hansen,36266,38
718327901589937,Mette Thiesen,Nye Borgerlige,36236,80
990998001028850,Folkekirken Vesterbro,Folkekirken Vesterbro,36091,148
764212570440726,Sampension,Sampension,35868,185
159972227956433,"3F Privat Service, Hotel & Restauration",Thorkild Holmboe-Hay,35701,12
12458150929,Radikale Venstre,Radikale Venstre,35453,54
239624940212,HK Kommunal,HK Kommunal,35415,35
159764527386205,VoresMad.dk,Landbrug & Fødevarer,35278,14
399210657232918,PlanBørnefonden,These ads ran without a disclaimer,35190,46
555771057824100,Børne- og Undervisningsministeriet,Børne- og Undervisningsministeriet,35177,6
113158773469624,Pernille Vermund,Nye Borgerlige,34977,47
106085439854417,Eniig,Eniig,34791,7
122469085070,Teknisk Landsforbund,Teknisk Landsforbund,34447,94
141366725876424,European Greens,European Greens,34336,12
259411291598741,Oceans2clean,Oceans2clean,34176,51
657491824390744,Spring Copenhagen,These ads ran without a disclaimer,34076,4
194452460650048,Global Aktion,Global Aktion,34048,176
454724341400431,Grundfos,Grundfos,33894,27
129940943738051,Odense ser Rødt,Odense ser Rødt / Rundfunk la Rouge,33876,173
622795374413773,Venstre i Favrskov,Venstre i Favrskov Kommune,33783,81
1104790642968068,Peter Seier Christensen,Peter Seier Christensen,33718,479
66971052034,Hjerteforeningen,Hjerteforeningen,33508,95
162525743793575,Ase,These ads ran without a disclaimer,33379,12
183887801641951,Verdens Skove,These ads ran without a disclaimer,33312,9
1378861979080037,Torsten Schack Pedersen,Pedersen Torsten Schack,33212,59
356061704407268,VELUX,VELUX,33156,16
113555862534,SF Ungdom,SF Ungdom,33084,78
46151445835,Dan Jørgensen,Socialdemokratiet,33067,23
305932686202047,Caritas Danmark,Caritas Danmark,33041,107
301647537160818,En grønnere planet,Greenpeace Danmark,32955,91
610636735742023,ODEON,ODEON,32543,28
1104790642968068,Peter Seier Christensen,Nye Borgerlige,32465,44
106065484513801,MergeFriends,These ads ran without a disclaimer,32314,12
28159151157,FOF København,FOF København,32232,79
261377963890954,24syv,These ads ran without a disclaimer,32125,158
425927674119415,Camilla Hersom - offentlig,Hersom Camilla,32114,18
144328019308205,LivePro,LivePro,32045,2
197081207401960,Henrik Buchhave,Buchhave Henrik,31924,23
113241872062337,Skole og Forældre,Skole og Forældre,31901,31
113588132144811,Ruben Kidde,Ruben Kidde,31585,59
495897290562507,Fagbladet 3F,Fagbladet 3F,31331,42
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer","Martin Merrild, formand i Landbrug & Fødevarer",31121,58
2088130821211883,EKF Danmarks Eksportkredit,EKF Danmarks Eksportkredit,31035,56
543377119182861,Grøn Forskel,These ads ran without a disclaimer,31029,21
24352982198,Ida Auken,Ida Auken,31025,45
461906303966227,Stig Grenov,Kristendemokraterne,30751,12
691707047549076,Peter Skaarup,Dansk Folkeparti,30580,43
77420716648,Energiselskabet Natur-Energi,Energiselskabet Natur-Energi,30311,27
1945999435500667,Love Beauty and Planet DK,Unilever,30000,3
102000981581794,Compleo Health,Compleo Health,29948,12
366939412915,Din Sundhedsfaglige A-kasse - DSA,Din Sundhedsfaglige A-kasse - DSA,29686,50
1474475802570139,Borgen Late Night,These ads ran without a disclaimer,29205,10
243765466796,Vejle Kommune,Vejle Kommune,29114,57
350242375125258,Signe Munk,SF,28903,69
424159230945271,Christel Schaldemose,Christel Schaldemose,28201,81
631199173747090,Arbejdere I Bevægelse - VORES OK20,Arbejdere I Bevægelse - VORES OK20,28143,73
229347797233832,Brigitte Klintskov Jerkel Politiker,Jerkel Brigitte Klintskov,27875,128
206884319742541,VIN 121,Janus Brink,27787,20
165663090885071,Bio-tex,Biotex,27711,1
532412506910835,HOFOR,HOFOR,27622,7
36664432940,Amnesty International Danmark,These ads ran without a disclaimer,27451,35
163667717003000,Sundhedsmonitor,These ads ran without a disclaimer,27447,9
1340640942618234,Copenhagen Contemporary,Copenhagen Contemporary,27417,37
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),Danmarks Socialdemokratiske Ungdom (DSU),26795,12
1408142216156387,Lars Chr. Lilleholt,Lars Chr. Lilleholt,26557,281
240637459319900,Kristian Jensen,These ads ran without a disclaimer,26183,10
155006118510945,Thomas Thomsen,Thomsen Thomas,26074,19
185741612014,Nordisk Ministerråd og Nordisk Råd,Nordisk Ministerråd og Nordisk Råd,25954,86
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,25953,11
175437749163141,"Kristian Andersen, KD",These ads ran without a disclaimer,25936,9
211175848943032,KFUKs Sociale Arbejde,KFUKs Sociale Arbejde,25785,18
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,25722,35
1727075740642843,Søren Valgreen Knudsen,Knudsen Soren Valgreen,25652,81
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,25612,18
162442507123145,folkekirken.dk,These ads ran without a disclaimer,25485,22
1450750935146684,Asger Christensen i EU,Christensen Asger Bank Møller,25283,33
361528807267505,Researchkollektivet Redox,Researchkollektivet Redox,25212,61
167504053262711,Kvindernes Sidste Arbejdsdag,"Kvindernes Sidste Arbejdsdag by HK, 3F, Teknisk Landsforbund, Socialpædagogerne, Djøf & Dansk Magisterforening",25000,6
1570552809858689,Tandlægeforeningen,Tandlægeforeningen,25000,6
1489320827982521,Simon Emil Ammitzbøll-Bille,Liberal Alliance,24863,4
1327403023996368,Hovmand Energi,Hovmand Energi,24675,18
140503649313790,Volkswagen,These ads ran without a disclaimer,24356,1
276770505228,Folkekirkens Nødhjælp,These ads ran without a disclaimer,24261,186
278806758891805,Gymnasieindsamler hos Røde Kors,Røde Kors,23854,11
2079502855459920,Charlotte Broman Mølbæk,SF,23557,56
145989963343,Lise Müller,Müller Lise,23528,27
1719764131664489,Anne Honoré Østergaard,Ostergaard Anne Honore,23485,75
129802704387687,Per Larsen,Det Konservative Folkeparti,23453,19
272331562901791,Christoffer Lilleholt,Christoffer Lilleholt,23328,182
252460092159583,Bo trygt,These ads ran without a disclaimer,23193,2
339937129764672,Steffen Sjørslev - Liberal Alliance,Sjorslev Steffen,23117,9
539352966216684,Vækstfonden,Vækstfonden,23019,20
153005544821843,Mads Andersen,Det Konservative Folkeparti,23000,13
810476755802044,Kathrine Olldag,Olldag Kathrine,22849,118
298461170736,U.S. Embassy Denmark,U.S. Embassy Denmark,22744,173
1202144586507625,Stine Bardeleben Helles,Helles Stine,22689,42
665462313475794,Lise Bech - Dansk Folkeparti,Bech Lise,22594,11
117975516343,NORDJYSKE,NORDJYSKE,22550,39
1970205296611415,Norlys,These ads ran without a disclaimer,22271,4
400691640097383,Sine Olsson Heltberg,Olsson Sine Orgaard,22224,35
1351813504859326,GetBarry,These ads ran without a disclaimer,22199,78
530069377053107,Henrik Sass Larsen,Socialdemokratiet,22110,61
323782467803321,Carl Valentin,Carl Valentin,21742,76
741255806000841,Skatteministeren,These ads ran without a disclaimer,21713,2
329413910880676,Jan E. Jørgensen,These ads ran without a disclaimer,21659,5
1282577791766364,Kirsten Normann Andersen,SF,21620,60
110342203672164,Surface Project,Surface Project,21470,28
533374726861312,Kim Edberg Andersen,Kim Edberg Andersen-Kristoffersen,21440,66
1477361382543402,Merete Scheelsbeck,Scheelsbeck Merete Elizabeth,21388,21
349538089158009,Glad for gris,These ads ran without a disclaimer,21276,1
45178758245,Bibelselskabet,Bibelselskabet,21223,39
190638967645704,Maersk,Mcnab Alex Lawrence,21022,3
700191296727686,MENY,MENY,21000,3
421631444601562,Christina Krzyrosiak Hansen,Christina Hansen,20983,82
162843287205735,Rasmus Jarlov,Det Konservative Folkeparti,20970,15
285722315449568,Mai Villadsen,Enhedslisten,20888,20
1489836057958537,Karsten Lauritzen,Lauritzen Karsten Styrbaek,20883,37
281061045260879,Spar Nord,Spar Nord,20871,21
1434894720136798,Alternativet Nordjylland,Alternativet Nordjylland,20852,82
132344416862423,FOA,FOA,20800,59
435824063901789,Ghosthunters,These ads ran without a disclaimer,20775,1
240966039259839,Slush,These ads ran without a disclaimer,20682,199
1879573608775721,Simon Skals,SKALS SIMON SKÆRBÆK,20639,16
935600569947728,Verner i Folketinget,Verner Sand Kirk,20522,21
402750609774750,Biofuel Express,Agdal Martin Sebastian,20514,28
97223458316,Frie,These ads ran without a disclaimer,20480,3
202754879788353,Radikal Ungdom,Radikal Ungdom,20443,114
611866328824046,Socialpædagogerne,Socialpædagogerne,20410,32
1902044243366919,Stop HPV - bliv vaccineret,These ads ran without a disclaimer,20292,7
