Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
1069433399775121,Bacăul Furat,PSD - Organizatia Judeteana Bacau,25008,20
1224068470955946,Cristian Galea,Isidor's Software Solutions SRL,24944,78
254690471320373,Vocea Bacăului,Partidul Social Democrat - Organizatia Judeteana Bacau,24926,18
118156068240867,CEL.ro,CEL.ro,24885,49
987000488084806,USR Argeș,Uniunea Salvați România - USR,24862,40
1498409580204044,Laurentiu Neghina,Partidul Mișcarea Populară Bacău,24665,55
103232354477058,Andrei la Primărie,USR Ilfov,24662,38
464633280396762,Catalin Toma,PNL Vrancea,24546,26
360184320712594,Raluca Turcan,Partidul Naţional Liberal,24515,591
421280451283707,PNL Sector 3,Partidul Naţional Liberal,24420,237
331180117476294,"Partidul Libertate, Unitate și Solidaritate - PLUS Alba",PLUS,24337,321
125414364282605,Daniel Fenechiu,Branding Digital Strategy,24330,32
182546041796641,Costel Alexe,PNL IASI,24273,72
808773709245245,Nicolae Giugea,Oltenia STAR,24150,42
788779771236776,PNL Bihor,PNL Bihor,24127,382
675042232534141,Vincze Loránt,Vincze Loránt,23919,622
1641765056062575,Virgil Popescu,11 PLUS,23911,53
163950740830769,Gaz De Romania,Gaz De Romania,23898,795
114742503771800,Ligia Iunia Dugulescu,Partidul Miscarea Populara,23837,49
361235817223309,Traian Băsescu,Partidul Miscarea Populara Bucureşti,23803,27
1557562174501195,PNL Suceava,PNL Suceava,23769,1024
1738339926491503,Silviu Dehelean,Uniunea Salvați România - USR,23767,25
1094773083945512,Claudiu Nasui,Uniunea Salvati Romania,23601,1
1028428697211383,USR Sibiu,Uniunea Salvați România,23599,66
636615956364844,Gabriel Petrea,Pro România,23522,30
108304090952938,Mihai Weber,PSD Gorj,23498,36
254527575470430,Ioan Turc,UB Global Media,23462,209
626302777419946,Sorin Vlaşin,PSD Maramures,23419,27
288202044934655,Rasaliu Marian,Rasaliu Marian-Iulian,23359,36
238161130013060,PNL Giurgiu,PNL Giurgiu,23303,181
247907621936037,Cătălin Nechifor,PRO România Suceava,23218,63
719780158165645,Claudiu Daniel Catana,PRO ROMANIA ARGES,23195,59
103232354477058,Andrei la Primărie,Partidul "Uniunea Salvați România",23177,20
511902975647230,Lucian Morar,Tropic Solutions,23152,33
2134781426800107,PRO România Cluj,Megasoft Systems,23144,89
118745168285753,Marian Pavel,PSD Ialomița,23070,85
1723480164579572,USR Brașov,USR Brașov,22962,98
110217267468731,Maricica Vrabie,The Four 0 Five SRL,22962,47
108331397335412,Eduard Ciceu,Pro Romania Dolj,22933,69
111049194090703,Prea mult si niciodata destul,Books Lead SRL,22921,218
110983727375992,Horia Bugarin,USR Timiș,22837,73
1639552759657998,Petru Movila,Partidul Mişcarea Populară - Filiala Iaşi,22538,48
808223545858756,PSD Arges,PSD Arges,22475,47
1039915392797357,Gheorghe Simon,PSD Maramures,22402,31
281341562263123,Cristina Prună,USR București,22300,7
1612373492325952,PNL Caras Severin,PNL Caras Severin,22289,115
735622696818349,PSD Dâmbovița,CMF: 21200019,22287,143
108906777608808,Dumitrița GLIGA,Partidul Social Democrat filiala Mureș,22264,38
620083298402659,Bogdan Trif,Turcanu Catalin Nicolae,22167,48
292847028010932,Aresel,Tudor Adrian,22122,81
318417928527284,Lucian N. Romascanu,Partidul Social Democrat,22055,48
488333077924354,Expresspress,ExpressPress.ro,22010,135
1755021091444902,Florin Birta,Globencer SRL,21841,19
1714239192011961,Dacian Ciodaru,DAC MEDIA ADVERTISING,21761,55
439358942808701,Claudia Benchescu,Partidul National Liberal Filiala Buzau,21739,56
1116110425071553,PNL Vaslui,PNL Vaslui,21704,149
112664490103704,Salvăm România,These ads ran without a disclaimer,21623,8
252216518753662,Silviu Rus,Silviu Rus,21554,67
384844288555266,Ciocan Nicusor,Uniunea Salvați România - USR,21482,11
107104984125855,Ramona Cupă președinte PMP Mehedinți,PMP Severin,21469,82
823974271010617,POL - Târgu Mureș Marosvásárhely,Partidul Oamenilor Liberi,21429,90
208455526258094,Radu Preda,Partidul Social Democrat,21376,36
279506398903505,PNL Sector 1,Mesaros-Rusu Theodor-Lucian,21368,117
