Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
268366156599556,Krzysztof Gawkowski,KW Sojusz Lewicy Demokratycznej,9687,38
1945383395767575,Włodzimierz Cimoszewicz,KKW Koalicja Europejska PO PSL SLD .N Zieloni,9680,8
225922327476984,Nauka i Edukacja,DO IT crew sp. z o.o,9669,152
1649507081981802,Create & Business - Pozyskiwanie i rozliczanie dotacji,Dorota Zofia Krajewska,9646,12
1433433930282695,"Filmy, które zmieniają życie","Filmy, które zmieniają życie",9632,13
2441930755826028,E-Dopłaty,These ads ran without a disclaimer,9608,41
564941230235866,Beata Mazurek,KW Prawo i Sprawiedliwość,9588,5
169913419732194,Michał Jaros,KKW Koalicja Obywatelska PO .N iPL Zieloni,9544,299
116769358389826,Polskie Centrum Programu "Safer Internet",Polskie Centrum Programu "Safer Internet",9534,2
102312718279571,Europejski Instytut Finansowy,These ads ran without a disclaimer,9513,4
